"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"3-","≈ 0.3 ps","2386.8 3","[E3]","","0.00309","α=0.00309, α(K)=0.00227 4, α(L)=0.000409 6, α(M)=9.68×10-5 14, α(N)=2.49E-5 4, α(O)=5.18E-6 8, α(P)=6.57E-7 10",
"2393.78","1+","","2393.79 7","M1","","0.00295","α=0.00295, α(K)=0.00181 3, α(L)=0.000300 5, α(M)=7.03×10-5 10, α(N)=1.81E-5 3, α(O)=3.79E-6 6, α(P)=4.93E-7 7",
"2403.282","5+","","20.72","[M1]","","214","α=214, α(L)=163.2 23, α(M)=38.8 6, α(N)=10.00 14, α(O)=2.09 3, α(P)=0.270 4",
"5+","","77.2 2","M1","","4.47","α=4.47 8, α(L)=3.41 6, α(M)=0.805 13, α(N)=0.207 4, α(O)=0.0434 7, α(P)=0.00560 9",
"5+","","929.93 2","M1+E2","0.72 11","0.0194","α=0.0194 12, α(K)=0.0158 10, α(L)=0.00277 16, α(M)=0.00065 4, α(N)=0.000168 9, α(O)=3.50×10-5 20, α(P)=4.5E-6 3",
"5+","","976.55 2","M1+E2","0.61 20","0.0182","α=0.0182 19, α(K)=0.0148 16, α(L)=0.00257 24, α(M)=0.00061 6, α(N)=0.000156 14, α(O)=3.3×10-5 3, α(P)=4.2E-6 4",
"2413.834","3+","","123.77 10","M1,E2","","4.5","α=4.5 16, α(K)=2.6 23, α(L)=1.4 6, α(M)=0.35 15, α(N)=0.09 4, α(O)=0.018 7, α(P)=0.0018 4",
"3+","","987.12 10","M1","","0.0215","α=0.0215, α(K)=0.01761 25, α(L)=0.00298 5, α(M)=0.000699 10, α(N)=0.000180 3, α(O)=3.77×10-5 6, α(P)=4.89E-6 7",
"3+","","1232.36 3","M1+E2","1.15 16","0.0081","α=0.0081 6, α(K)=0.0065 5, α(L)=0.00114 8, α(M)=0.000269 17, α(N)=6.9×10-5 5, α(O)=1.44E-5 9, α(P)=1.84E-6 12",
"2438.36","7+","","112.29 10","(M1)","","7.98","α=7.98, α(K)=6.47 10, α(L)=1.151 17, α(M)=0.272 4, α(N)=0.0700 10, α(O)=0.01465 21, α(P)=0.00189 3",
"7+","","250.35 3","M1","","0.832","α=0.832, α(K)=0.676 10, α(L)=0.1186 17, α(M)=0.0280 4, α(N)=0.00720 10, α(O)=0.001506 21, α(P)=0.000195 3",
"7+","","881.39 2","M1+E2","0.56 17","0.0242","α=0.0242 22, α(K)=0.0197 18, α(L)=0.0034 3, α(M)=0.00081 7, α(N)=0.000208 16, α(O)=4.3×10-5 4, α(P)=5.6E-6 5",
"7+","","965.01 3","M1+E2","1.0 2","0.0153","α=0.0153 17, α(K)=0.0124 14, α(L)=0.00222 21, α(M)=0.00052 5, α(N)=0.000135 13, α(O)=2.8×10-5 3, α(P)=3.6E-6 4",
"E(level), (keV)","Jπ(level)","T1/2(level)","E(γ), (keV)","Multipolarity","Mixing, Ratio","Conversion, Coefficient","Additional Data",
"2608.58","0+","","1427.2 1","E2","","0.00380","α=0.00380, α(K)=0.00304 5, α(L)=0.000544 8, α(M)=0.0001286 18, α(N)=3.30×10-5 5, α(O)=6.85E-6 10, α(P)=8.60E-7 12",
"2845.97","(3)-","","459.0 3","M1","","0.1600","α=0.1600, α(K)=0.1305 19, α(L)=0.0226 4, α(M)=0.00531 8, α(N)=0.001367 20, α(O)=0.000286 4, α(P)=3.70×10-5 6",
"(3)-","","1664.57 7","E1+M2","0.25 5","0.0021","α=0.0021 3, α(K)=0.00152 24, α(L)=0.00025 5, α(M)=5.8×10-5 10, α(N)=1.5E-5 3, α(O)=3.1E-6 6, α(P)=4.0E-7 7",
