"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"2079.18 8","G I K","(4-)","","154.85 7 ,    705.21 13 ,    871.03 15 ,    903.13 18 ,   1085.6 6 ,   1576.6 7 ,   1640.0 6 ,   1733.3 2 ,   1761.5 2",",    <472,    <186,    <214,     <86,    <129,     100 45 ,  ,",", , , , , , , ,","1924.40,     1373.99,     1208.41,     1175.33,      993.72,      502.84,      439.24,      347.95,      319.73","(2-), (3-), (6-), (2-), (3+), 4-, 5-, 3-, 2-",
"2099.30 13","G","(5-)","","64.92 6 ,    392.82 6 ,    575.91 11 ,    623.84 10 ,    890.72 18 ,   1596.37 23 ,   1665.27 25","<89,      87 20 ,     <78,     <38,      12 4 ,     100 20 ,     <19",", , , , , ,","2034.27,     1706.54,     1523.30,     1475.85,     1208.41,      502.84,      433.48","(5-), (5+), (4+), (3-), (6-), 4-, 7-",
"2099.4 5","FG    L","(11+)","","1430.32 7","100","","669.0","10-",
"2108.33 17","G I K","(6-)","","1557.7 3 ,   1668.82 16 ,   1675.5 2","100 31 ,      94 25 ,      47 5",", ,","550.04,      439.24,      433.48","6-, 5-, 7-",
"2135.14 5","FG","(7-)","","154.85 7 ,    799.4 5 ,    950.82 11 ,   1585.22 19 ,   1695.55 15 ,   1701.7 8",",  ,  ,  ,  ,",", , , , ,","1980.33,     1335.71,     1184.15,      550.04,      439.24,      433.48","(7-), (5-), (8-), 6-, 5-, 7-",
"2138 3","I","(5-)","","","","","","",
"2143 4","F","","","","","","","",
"2177.25 6","FG I K","(4-)","","968.5 4 ,   1675.2 8 ,   1738.3 2 ,   1829.3 4",",      37 20 ,     100 8 ,",", , ,","1208.41,      502.84,      439.24,      347.95","(6-), 4-, 5-, 3-",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2237.81 13","FG I K","(6-)","","775.01 5 ,    855.49 16 ,   1321.74 14 ,   1798.25 13 ,   1804.2 8","<1487,    <178,     100 13 ,      43 13 ,      17 9",", , , ,","1462.83,     1382.34,      916.11,      439.24,      433.48","(5-), (7-), 8-, 5-, 7-",
"2258.88 13","G","(7+)","","186.3 3 ,    482.46 16 ,   1074.29 18 ,   1342.5 6 ,   1708.99 8 ,   1825.35 7",",  ,  ,  ,  ,",", , , , ,","2072.51,     1776.38,     1184.15,      916.11,      550.04,      433.48","(9+), (6+), (8-), 8-, 6-, 7-",
"2280 5","F  I","","","","","","","",
"2314.14 15","G","(6-)","","1764.89 22 ,   1874.91 16 ,   1880.55 16","50 17 ,    <133,     100 25",", ,","550.04,      439.24,      433.48","6-, 5-, 7-",
"2464","F  I","","","","","","","",
"2525.14 7","FG I K","(4-)","","347.91 6 ,    490.89 7 ,   1531.0 3 ,   2022.2 3 ,   2085.7 3 ,   2177.0 3",",  ,  ,  ,  ,",", , , , ,","2177.25,     2034.27,      993.72,      502.84,      439.24,      347.95","(4-), (5-), (3+), 4-, 5-, 3-",
"2543 5","F","","","","","","","",
"2578.75 8","FG I K","(5-)","","563.22 8 ,   1116.9 6 ,   2029.1 3 ,   2076.4 3 ,   2140.3 5",",  ,  ,  ,",", , , ,","2015.55,     1462.83,      550.04,      502.84,      439.24","(6+), (5-), 6-, 4-, 5-",
"2610.10 9","FG I K","(4-)","","575.91 11 ,    713.21 25 ,    903.13 18 ,   1362.2 5 ,   2171.4 4 ,   2262.29 17 ,   2290.1 3","<988,     100 25 ,    <188,    <175,  ,    <463,    <175",", , , , , ,","2034.27,     1896.84,     1706.54,     1248.04,      439.24,      347.95,      319.73","(5-), (3+), (5+), (4-), 5-, 3-, 2-",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2664 5","F","","","","","","","",
"2724.07 14","G","(8+)","","718.2 3 ,    827.24 7 ,   1423.33 11 ,   1806.9 7 ,   2290.1 3","<117,    <667,    <417,     100 33 ,    <233",", , , ,","2005.99,     1896.93,     1300.61,      916.11,      433.48","(8-), (9-), (7-), 8-, 7-",
"2725.3 11","F       N","(14-)","","1252,   1403",",",", [E3]","1473.1,     1322.2","(12+), (11+)",
"2737.19 13","G I K","(8-)","","601.5 3 ,    900.11 8 ,    943.91 9 ,   1397.84 7 ,   2154.8 10 ,   2465.3 3","<35,  ,     100 23 ,    <145,  ,",", , , , ,","2135.14,     1837.06,     1793.41,     1339.33,      582.54,      271.31","(7-), (7+), (8+), (6-), 8-, 9-",
"2758.96 7","G","(6+)","","623.84 10 ,   1376.5 4 ,   1423.16 25 ,   2325.9 10","<380,     100 60 ,    <220,    <210",", , ,","2135.14,     1382.34,     1335.71,      433.48","(7-), (7-), (5-), 7-",
"2764.97 14","FG   K","(3+)","","758.37 24 ,    868.3 8 ,   2262.29 17 ,   2416.9 7",",  ,  ,",", , ,","2006.25,     1896.84,      502.84,      347.95","(4+), (3+), 4-, 3-",
"2765.16 9","FG I","(3-)","","186.3 3 ,    758.37 24 ,    775.01 5 ,    868.3 8 ,   1601.0 12 ,   2262.29 17 ,   2325.9 10 ,   2416.9 7",",  ,  ,  ,  ,  ,  ,",", , , , , , ,","2578.75,     2006.25,     1990.18,     1896.84,     1164.64,      502.84,      439.24,      347.95","(5-), (4+), (3-), (3+), (1-), 4-, 5-, 3-",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2818.00 15","G I","(1-)","","828.8 9 ?,   1342.5 6 ,   1642.10 20 ,   2470.9 3 ,   2771.9 8","<250,    <125,    <475,   <1250,     100 50",", , , ,","1990.18,     1475.85,     1175.33,      347.95,       46.5390","(3-), (3-), (2-), 3-, 0-",
"2819.05 8","G","(4+)","","828.8 9 ?,   1342.5 6 ,   1825.35 7 ,   2315.9 8 ,   2379.4 4 ,   2470.9 3","<111,     <56,    <845,     100 33 ,     <89,    <556",", , , , ,","1990.18,     1475.85,      993.72,      502.84,      439.24,      347.95","(3-), (3-), (3+), 4-, 5-, 3-",
"2840.46 15","FG I K","(6-)","","705.25 13 ,   1064.10 14 ,   2290.1 3 ,   2402.0 5 ,   2407.7 5",",  ,  ,  ,",", , , ,","2135.14,     1776.38,      550.04,      439.24,      433.48","(7-), (6+), 6-, 5-, 7-",
"2868 6","F","","","","","","","",
"2910.15 13","G","(7+)","","186.3 3 ,    775.01 5 ,    903.13 18 ,   1116.9 6 ,   1203.54 18 ,   1608.7 5 ,   1701.7 8 ,   1993.6 5 ,   2360.3 6","<400,   <2280,    <100,    <120,    <717,      67 20 ,     <53,     100 27 ,      53 20",", , , , , , , ,","2724.07,     2135.14,     2005.99,     1793.41,     1706.54,     1300.61,     1208.41,      916.11,      550.04","(8+), (7-), (8-), (8+), (5+), (7-), (6-), 8-, 6-",
"2921.15 7","FG I","(5-)","","162.19 5 ,    785.75 24 ,    887.19 15 ,   1397.84 7 ,   1531.0 3 ,   1585.22 19",",  ,  ,  ,  ,",", , , , ,","2758.96,     2135.14,     2034.27,     1523.30,     1390.00,     1335.71","(6+), (7-), (5-), (4+), (4-), (5-)",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"2966.46 12","G I K","(4-)","","788.79 24 ,    887.19 15 ,    960.7 2 ,   1503.1 4 ,   1576.6 7 ,   2528.5 9",",  ,  ,  ,  ,",", , , , ,","2177.25,     2079.18,     2006.25,     1462.83,     1390.00,      439.24","(4-), (4-), (4+), (5-), (4-), 5-",
"3004.53 6","G","(2-)","","186.3 3 ,    827.24 7 ,   1613.8 6 ,   1756.3 5 ,   1829.3 4 ,   1839.81 8 ,   2032.4 3","<105,     <70,      19 5 ,      23 7 ,     <13,     100 21 ,      16 5",", , , , , ,","2818.00,     2177.25,     1390.00,     1248.04,     1175.33,     1164.64,      971.92","(1-), (4-), (4-), (4-), (2-), (1-), (2-)",
"3010.86 17","G I","(2-)","","1020.4 3 ,   1085.6 6 ,   1835.76 21",",  ,",", ,","1990.18,     1924.40,     1175.33","(3-), (2-), (2-)",
"3039.56 10","FG I K","(3-)","","960.7 2 ,   1054.96 13 ,   1576.6 7 ,   1665.27 25 ,   1874.91 16 ,   2535.6 5 ,   2599.3 5 ,   2691.1 5",",  ,  ,  ,  ,  ,  ,",", , , , , , ,","2079.18,     1984.71,     1462.83,     1373.99,     1164.64,      502.84,      439.24,      347.95","(4-), (3-), (5-), (3-), (1-), 4-, 5-, 3-",
"3069.54 7","G I","(4-)","","64.92 6 ,    490.89 7 ,   1362.2 5 ,   1546.59 24 ,   1695.55 15",",  ,  ,  ,",", , , ,","3004.53,     2578.75,     1706.54,     1523.30,     1373.99","(2-), (5-), (5+), (4+), (3-)",
"3108.53 14","G I K","(5-)","","871.03 15 ,   1009.9 4 ,   1074.29 18 ,   1118.08 14 ,   1332.5 4 ,   1585.22 19 ,   2674.2 5","<217,     100 33 ,    <233,    <317,      67 33 ,    <333,",", , , , , ,","2237.81,     2099.30,     2034.27,     1990.18,     1776.38,     1523.30,      433.48","(6-), (5-), (5-), (3-), (6+), (4+), 7-",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"3123 6","F","","","","","","","",
"3141.32 15","G I K","(6-)","","827.24 7 ,    903.13 18 ,   1160.6 3 ,   2591.3 4 ,   2702.1 10 ,   2708.2 4","<286,    <107,     100 36 ,  ,  ,",", , , , ,","2314.14,     2237.81,     1980.33,      550.04,      439.24,      433.48","(6-), (6-), (7-), 6-, 5-, 7-",
"3182.5 4","I K","(4-)","","2679.7 5 ,   2743.3,   2834.5 10","100 35 ,      93,      33 6",", ,","502.84,      439.24,      347.95","4-, 5-, 3-",
"3209.75 6","FG I K","(5-)","","971.89 8 ,   1032.76 13 ,   1074.29 18 ,   1175.47 8 ,   1203.54 18 ,   1503.1 4 ,   1835.76 21 ,   1909.02 23 ,   2862.3 8",",  ,  ,  ,  ,  ,  ,  ,",", , , , , , , ,","2237.81,     2177.25,     2135.14,     2034.27,     2006.25,     1706.54,     1373.99,     1300.61,      347.95","(6-), (4-), (7-), (5-), (4+), (5+), (3-), (7-), 3-",
"3244.63 16","FG I K","(7-)","","1209.7 3 ,   1264.2 7 ,   1909.02 23 ,   2695.9 5 ,   2805.8 6 ,   2810.9 5","100 33 ,      44 17 ,    <106,  ,  ,      67 22",", , , , ,","2034.27,     1980.33,     1335.71,      550.04,      439.24,      433.48","(5-), (7-), (5-), 6-, 5-, 7-",
"3294.1 14","I    N","(13+)","","1821","100","","1473.1","(12+)",
"3330","F  I","","","","","","","",
"3399","I","","","","","","","",
"3412 7","F","","","","","","","",
"3443 7","F","","","","","","","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"3469.2 13","N","(15+)","11.1 ns 7","175,    744",",","(E2), (E1)","3294.1,     2725.3","(13+), (14-)",
"3502 7","F","","","","","","","",
"3538 7","F","","","","","","","",
"4030.2 15","F       N","(16+)","","561","100","","3469.2","(15+)",
"4085.8 12","N","(14-)","","1360,   2613",",",",","2725.3,     1473.1","(14-), (12+)",
"4188","F","","","","","","","",
"4239.1 13","N","(15-)","","153,   1514",",",",","4085.8,     2725.3","(14-), (14-)",
"4463.1 15","N","(16-)","","224","100","","4239.1","(15-)",
"4594.1 16","N","(17-)","","131,    564",",",",","4463.1,     4030.2","(16-), (16+)",
"4605.43 8","H","(5)","","","","","","",
"4606.95 8","H","(4)","","","","","","",
"4607.98 8","H","(5)","","","","","","",
"4609.09 8","H","(5)","","","","","","",
"4609.74 8","H","(5)","","","","","","",
"4610.92 8","H","(4)","","","","","","",
"4611.16 8","H","(3)","","","","","","",
"4613.65 8","H","(6)","","","","","","",
"4613.79 8","H","(5)","","","","","","",
"4614.35 8","H","(4)","","","","","","",
"4614.40 8","H","(3)","","","","","","",
"4616.73 8","H","","","","","","","",
"4620.28 8","H","(5)","","","","","","",
"4622.07 8","H","(6)","","","","","","",
"4622.47 8","H","(5)","","","","","","",
"4625.50 8","H","(5)","","","","","","",
"4625.68 8","H","(4)","","","","","","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels",
"4626.92 8","H","(5)","","","","","","",
"4627.78 8","H","(6)","","","","","","",
"4965.1 19","N","(19-)","","371","100","","4594.1","(17-)",
"5182.1 21","N","","","217","100","","4965.1","(19-)",
"5478.1 24","N","","","296","100","","5182.1","",
"5748.1 21","N","","","783","100","","4965.1","(19-)",
"5845.1 24","N","","","663","100","","5182.1","",
"5996 3","N","","","518","100","","5478.1","",
"X+5996","N","","0.1 ns","","","","","",

"E(level)(keV)","Jπ(level)","T1/2(level)","E(γ)(keV)","Multipolarity","ConversionCoefficient","Additional Data",
"46.5390","0-","< 3 ns","46.539 1","M1","18.7","α=18.7",

"E(level)","Jπ(level)","T1/2(level)","Comments",
