"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"7759.2+X 18","G","(19+)","7.5 ns 9","97.3","100","E1","7661.9+X","(18-)",
"7815.2 10","K               a","","","7815","","","0.0","0+",
"7846.2 10","K","1","","7846","100","","0.0","0+",
"7850 15","Y a","8+","","","","","","",
"7874 15","Y a","8+","","","","","","",
"7881.0 9","K","1","","7078,   7880 2",",",",","803.054,      0.0","2+, 0+",
"7890.6 10","K","1","","6724,   7891 4",",",",","1166.4,      0.0","0+, 0+",
"7903 4","K               a","1","","7903 4","100","","0.0","0+",
"7975.7 10","K               a","1","","6509,   7972 4",",",",","1466.81,      0.0","2+, 0+",
"8000.2 10","K               a","1","","7202?,   8000",",",",","803.054,      0.0","2+, 0+",
"8040.2 10","K               a","","","8040","100","","0.0","0+",
"8080","T","","","","","","","",
"8081.8+X 20","G","[20+]","","322.6","100","","7759.2+X","(19+)",
"8199 15","a","","","","","","","",
"8226 15","a","","","","","","","",
"8300","T","","","","","","","",
"8705.6+X 23","G","[21+]","","623.8","100","","8081.8+X","[20+]",
"8800","T","","","","","","","",
"9150","T","","","","","","","",

"E(level)(keV)","Jπ(level)","T1/2(level)","E(γ)(keV)","Multipolarity","MixingRatio","ConversionCoefficient","Additional Data",
"803.054","2+","8.30 ps 25","803.06 3","E2","","0.01033","B(E2)(W.u.)=2.80 9, α=0.01033, α(K)=0.00804 12, α(L)=0.001745 25, α(M)=0.000420 6, α(N)=0.0001065 15, α(O)=2.06E-5 3, α(P)=1.89E-6 3, α(N+)=0.0001290 18",
"1340.49","3+","","537.47 3","M1(+E2)","+0.001 5","0.0900","α=0.0900, α(K)=0.0738 11, α(L)=0.01240 18, α(M)=0.00290 4, α(N)=0.000737 11, α(O)=0.0001469 21, α(P)=1.575×10-5 22, α(N+)=0.000899 13",
"1466.81","2+","","663.75 3","(M1+E2)","-0.07 2","0.0516","α=0.0516, α(K)=0.0423 6, α(L)=0.00708 10, α(M)=0.001653 24, α(N)=0.000420 6, α(O)=8.38×10-5 12, α(P)=8.99E-6 13, α(N+)=0.000513 8",
"2+","","1466.78 4","E2","","0.00328","α=0.00328, α(K)=0.00264 4, α(L)=0.000453 7, α(M)=0.0001063 15, α(N)=2.69×10-5 4, α(O)=5.32E-6 8, α(P)=5.43E-7 8, α(N+)=8.66E-5 13",
"1683.99","4+","","343.51 3","M1(+E2)","+0.001 3","0.297","α=0.297, α(K)=0.243 4, α(L)=0.0414 6, α(M)=0.00969 14, α(N)=0.00246 4, α(O)=0.000491 7, α(P)=5.26×10-5 8, α(N+)=0.00301 5",
"4+","","880.98 4","E2","","0.00857","α=0.00857, α(K)=0.00674 10, α(L)=0.001392 20, α(M)=0.000333 5, α(N)=8.45×10-5 12, α(O)=1.643E-5 23, α(P)=1.543E-6 22, α(N+)=0.0001025 15",
"1784.09","2+","","980.99 5","M1+E2","0.17 2","0.0185","α=0.0185, α(K)=0.01524 23, α(L)=0.00252 4, α(M)=0.000588 9, α(N)=0.0001493 22, α(O)=2.98×10-5 5, α(P)=3.20E-6 5, α(N+)=0.000182 3",
"1997.67","4+","","313.66 4","M1(+E2)","","0.24","α=0.24 14, α(K)=0.19 13, α(L)=0.043 11, α(M)=0.0103 22, α(N)=0.0026 6, α(O)=0.00051 13, α(P)=4.6×10-5 22, α(N+)=0.0032 7",
"4+","","657.18 4","M1(+E2)","0.44 LT","0.050","α=0.050 4, α(K)=0.041 3, α(L)=0.0069 4, α(M)=0.00162 9, α(N)=0.000412 22, α(O)=8.2×10-5 5, α(P)=8.8E-6 6, α(N+)=0.00050 3",
"4+","","1194.68 8","E2","","0.00474","α=0.00474, α(K)=0.00383 6, α(L)=0.000697 10, α(M)=0.0001646 23, α(N)=4.17×10-5 6, α(O)=8.20E-6 12, α(P)=8.15E-7 12, α(N+)=5.42E-5 8",
"2148.97","2+","","682.29 19","(M1+E2)","-0.22 5","0.0466","α=0.0466 10, α(K)=0.0382 9, α(L)=0.00642 13, α(M)=0.00150 3, α(N)=0.000381 8, α(O)=7.60×10-5 15, α(P)=8.13E-6 17, α(N+)=0.000465 9",
"2+","","808.58 17","(M1+E2)","-0.27 11","0.0296","α=0.0296 13, α(K)=0.0243 11, α(L)=0.00406 16, α(M)=0.00095 4, α(N)=0.000241 10, α(O)=4.80×10-5 19, α(P)=5.14E-6 22, α(N+)=0.000294 12",
"2196.7","(3)+","","729.2 8","(M1+E2)","-0.05 5","0.0405","α=0.0405 7, α(K)=0.0332 5, α(L)=0.00554 9, α(M)=0.001292 20, α(N)=0.000328 5, α(O)=6.55×10-5 10, α(P)=7.04E-6 11, α(N+)=0.000401 6",
"(3)+","","856.6 6","(M1+E2)","-0.026 15","0.0267","α=0.0267, α(K)=0.0220 4, α(L)=0.00364 6, α(M)=0.000849 12, α(N)=0.000216 3, α(O)=4.31×10-5 6, α(P)=4.63E-6 7, α(N+)=0.000263 4",
"(3)+","","1393.8 8","(M1+E2)","-0.019 9","0.00775","α=0.00775, α(K)=0.00634 9, α(L)=0.001037 15, α(M)=0.000241 4, α(N)=6.13×10-5 9, α(O)=1.224E-5 18, α(P)=1.319E-6 19, α(N+)=0.0001347 19",
"2200.16","7-","125 µS 2 , % IT = 100","202.44 3","[E3]","","3.78","B(E3)(W.u.)=0.28 3, α=3.78, α(K)=0.426 6, α(L)=2.47 4, α(M)=0.678 10, α(N)=0.1728 25, α(O)=0.0311 5, α(P)=0.001536 22, α(N+)=0.205 3",
"7-","125 µS 2 , % IT = 100","516.18 4","E3","","0.0887","B(E3)(W.u.)=0.361 8, α=0.0887, α(K)=0.0483 7, α(L)=0.0302 5, α(M)=0.00783 11, α(N)=0.00199 3, α(O)=0.000371 6, α(P)=2.64E-5 4, α(N+)=0.00239 4",
"2384.15","6-","30 ps 10","183.977 16","M1(+E2)","-0.013 25","1.668","B(E2)(W.u.)=(0.08 +31-8), B(M1)(W.u.)=(0.044 15), α=1.668, α(K)=1.361 20, α(L)=0.234 4, α(M)=0.0550 8, α(N)=0.01397 20, α(O)=0.00278 4, α(P)=0.000298 5, α(N+)=0.01705 24",
"2647.80","3-","0.087 ps 21","964.22 10","[E1]","","0.00267","B(E1)(W.u.)=0.00015 4, α=0.00267, α(K)=0.00223 4, α(L)=0.000341 5, α(M)=7.86E-5 11, α(N)=1.99E-5 3, α(O)=3.94E-6 6, α(P)=4.06E-7 6, α(N+)=2.42E-5 4",
"3-","0.087 ps 21","1844.49 10","E1","","1.29×10-3","B(E1)(W.u.)=0.00033 9, α=1.29E-3, α(K)=0.000733 11, α(L)=0.0001086 16, α(M)=2.50E-5 4, α(N)=6.32E-6 9, α(O)=1.259E-6 18, α(P)=1.333E-7 19, α(N+)=0.000425 6",
"2658.32","9-","","458.1 2","E2","","0.0364","α=0.0364, α(K)=0.0251 4, α(L)=0.00857 12, α(M)=0.00214 3, α(N)=0.000542 8, α(O)=0.0001020 15, α(P)=7.67×10-6 11, α(N+)=0.000652 10",
"2782.17","5-","","398.00 3","M1(+E2)","0.038 3","0.200","α=0.200, α(K)=0.1636 23, α(L)=0.0277 4, α(M)=0.00649 9, α(N)=0.001649 23, α(O)=0.000329 5, α(P)=3.52×10-5 5, α(N+)=0.00201 3",
"5-","","581.97 8","E2","","0.0206","α=0.0206, α(K)=0.01518 22, α(L)=0.00413 6, α(M)=0.001017 15, α(N)=0.000257 4, α(O)=4.91×10-5 7, α(P)=4.07E-6 6, α(N+)=0.000311 5",
"5-","","784.58 7","E1","","0.00391","α=0.00391, α(K)=0.00326 5, α(L)=0.000505 7, α(M)=0.0001166 17, α(N)=2.95×10-5 5, α(O)=5.83E-6 9, α(P)=5.93E-7 9, α(N+)=3.59E-5 5",
"5-","","1098.26 7","E1","","0.00212","α=0.00212, α(K)=0.001768 25, α(L)=0.000268 4, α(M)=6.18×10-5 9, α(N)=1.563E-5 22, α(O)=3.10E-6 5, α(P)=3.22E-7 5, α(N+)=1.91E-5 3",
"E(level), (keV)","Jπ(level)","T1/2(level)","E(γ), (keV)","Multipolarity","Mixing, Ratio","Conversion, Coefficient","Additional Data",
"2826.31","(4)-","","44.110 18","M1(+E2)","0.037 LE","19.3","α=19.3 4, α(L)=14.8 3, α(M)=3.47 7, α(N)=0.882 16, α(O)=0.176 3, α(P)=0.0186 3, α(N+)=1.076 19",
"(4)-","","1142.37 10","E1","","0.00198","α=0.00198, α(K)=0.001650 24, α(L)=0.000250 4, α(M)=5.75×10-5 8, α(N)=1.455E-5 21, α(O)=2.89E-6 4, α(P)=3.00E-7 5, α(N+)=2.13E-5 3",
"(4)-","","2022.80 20","M2,E3","","0.0055","α=0.0055 19, α(K)=0.0043 15, α(L)=0.00075 24, α(M)=0.00018 6, α(N)=4.5×10-5 14, α(O)=9.E-6 3, α(P)=9.E-7 4, α(N+)=0.00024 5",
"2864.55","7-","","480.38 10","M1","","0.1211","α=0.1211, α(K)=0.0992 14, α(L)=0.01674 24, α(M)=0.00391 6, α(N)=0.000994 14, α(O)=0.000198 3, α(P)=2.13×10-5 3, α(N+)=0.001214 17",
"7-","","664.17 10","M1","","0.0517","α=0.0517, α(K)=0.0424 6, α(L)=0.00709 10, α(M)=0.001655 24, α(N)=0.000420 6, α(O)=8.39×10-5 12, α(P)=9.00E-6 13, α(N+)=0.000513 8",
"7-","","1180.70 10","[E3]","","0.01068","α=0.01068, α(K)=0.00815 12, α(L)=0.00192 3, α(M)=0.000468 7, α(N)=0.0001189 17, α(O)=2.31×10-5 4, α(P)=2.17E-6 3, α(N+)=0.0001449 21",
"2929.09","4+","","1588.59 8","M1","","0.00568","α=0.00568, α(K)=0.00456 7, α(L)=0.000742 11, α(M)=0.0001727 25, α(N)=4.39×10-5 7, α(O)=8.76E-6 13, α(P)=9.45E-7 14, α(N+)=0.000212 3",
"2939.60","6-","","157.504 28","M1(+E2)","0.14 LT","2.57","α=2.57, α(K)=2.09 4, α(L)=0.366 6, α(M)=0.0859 14, α(N)=0.0218 4, α(O)=0.00435 7, α(P)=0.000461 7, α(N+)=0.0266 4",
"6-","","739.24 8","M1(+E2)","","0.026","α=0.026 14, α(K)=0.021 12, α(L)=0.0038 16, α(M)=0.0009 4, α(N)=0.00022 10, α(O)=4.4×10-5 19, α(P)=4.5E-6 23, α(N+)=0.00027 12",
"2954.5","8-","","296.2 4","M1","","0.445","α=0.445, α(K)=0.364 6, α(L)=0.0622 9, α(M)=0.01455 21, α(N)=0.00370 6, α(O)=0.000737 11, α(P)=7.89×10-5 12, α(N+)=0.00452 7",
"8-","","754.4 4","M1","","0.0371","α=0.0371, α(K)=0.0305 5, α(L)=0.00507 8, α(M)=0.001184 17, α(N)=0.000301 5, α(O)=6.00×10-5 9, α(P)=6.45E-6 9, α(N+)=0.000367 6",
"3016.43","5-","","234.242 23","M1(+E2)","0.19 LT","0.839","α=0.839 16, α(K)=0.684 14, α(L)=0.1187 17, α(M)=0.0279 4, α(N)=0.00708 10, α(O)=0.001410 20, α(P)=0.000150 3, α(N+)=0.00864 13",
"5-","","632.25 5","M1+E2","-0.12 3","0.0582","α=0.0582, α(K)=0.0477 8, α(L)=0.00800 12, α(M)=0.00187 3, α(N)=0.000475 7, α(O)=9.47×10-5 14, α(P)=1.015E-5 16, α(N+)=0.000580 9",
"5-","","1332.33 10","E1","","1.58×10-3","α=1.58×10-3, α(K)=0.001264 18, α(L)=0.000190 3, α(M)=4.37E-5 7, α(N)=1.105E-5 16, α(O)=2.20E-6 3, α(P)=2.30E-7 4, α(N+)=8.13E-5 12",
"3225.40","(5,6,7)-","","841.28 7","M1(+E2)","","0.019","α=0.019 10, α(K)=0.015 8, α(L)=0.0027 12, α(M)=0.0006 3, α(N)=0.00016 7, α(O)=3.2×10-5 14, α(P)=3.3E-6 16, α(N+)=0.00020 8",
"3244.24","4-","","1246.46 10","E1","","1.73×10-3","α=1.73×10-3, α(K)=0.001418 20, α(L)=0.000213 3, α(M)=4.92E-5 7, α(N)=1.244E-5 18, α(O)=2.47E-6 4, α(P)=2.58E-7 4, α(N+)=4.64E-5 7",
"4-","","1903.56 10","E1","","1.29×10-3","α=1.29×10-3, α(K)=0.000697 10, α(L)=0.0001030 15, α(M)=2.37E-5 4, α(N)=5.99E-6 9, α(O)=1.194E-6 17, α(P)=1.265E-7 18, α(N+)=0.000468 7",
"3260.4","6+","","1576.4 5","E2","","0.00292","α=0.00292, α(K)=0.00232 4, α(L)=0.000392 6, α(M)=9.16×10-5 13, α(N)=2.32E-5 4, α(O)=4.60E-6 7, α(P)=4.72E-7 7, α(N+)=0.0001171 17",
"3279.21","5-","","34.954 18","M1(+E2)","0.032 LT","38.4","α=38.4 7, α(L)=29.4 6, α(M)=6.91 14, α(N)=1.76 4, α(O)=0.349 7, α(P)=0.0370 6, α(N+)=2.14 4",
"5-","","262.70 3","M1(+E2)","0.11 LT","0.616","α=0.616, α(K)=0.503 8, α(L)=0.0864 13, α(M)=0.0203 3, α(N)=0.00515 8, α(O)=0.001026 15, α(P)=0.0001095 16, α(N+)=0.00628 9",
"5-","","497.06 4","M1(+E2)","-0.090 20","0.1100","α=0.1100, α(K)=0.0901 13, α(L)=0.01521 22, α(M)=0.00356 5, α(N)=0.000903 13, α(O)=0.000180 3, α(P)=1.93×10-5 3, α(N+)=0.001103 16",
"5-","","895.12 5","M1(+E2)","-0.030 3","0.0239","α=0.0239, α(K)=0.0196 3, α(L)=0.00325 5, α(M)=0.000757 11, α(N)=0.000192 3, α(O)=3.84×10-5 6, α(P)=4.13E-6 6, α(N+)=0.000235 4",
"5-","","1281.81 10","E1","","1.66×10-3","α=1.66×10-3, α(K)=0.001351 19, α(L)=0.000203 3, α(M)=4.68E-5 7, α(N)=1.184E-5 17, α(O)=2.35E-6 4, α(P)=2.46E-7 4, α(N+)=5.94E-5 9",
"5-","","1595.27 8","E1","","1.35×10-3","α=1.35×10-3, α(K)=0.000933 13, α(L)=0.0001389 20, α(M)=3.20E-5 5, α(N)=8.09E-6 12, α(O)=1.610E-6 23, α(P)=1.697E-7 24, α(N+)=0.000246 4",
"3402.65","5-","","123.415 30","M1(+E2)","0.13 LT","5.15","α=5.15, α(K)=4.18 7, α(L)=0.738 13, α(M)=0.174 4, α(N)=0.0441 9, α(O)=0.00877 16, α(P)=0.000927 13, α(N+)=0.0538 10",
"5-","","158.386 21","M1(+E2)","0.14 LT","2.53","α=2.53, α(K)=2.06 4, α(L)=0.360 6, α(M)=0.0845 13, α(N)=0.0215 4, α(O)=0.00428 7, α(P)=0.000453 7, α(N+)=0.0262 4",
"5-","","386.20 7","M1(+E2)","0.35 LT","0.208","α=0.208 10, α(K)=0.170 8, α(L)=0.0293 10, α(M)=0.00687 20, α(N)=0.00175 6, α(O)=0.000347 11, α(P)=3.68×10-5 15, α(N+)=0.00213 7",
"5-","","620.48 5","M1(+E2)","-0.33 29","0.057","α=0.057 8, α(K)=0.047 7, α(L)=0.0080 9, α(M)=0.00187 21, α(N)=0.00047 6, α(O)=9.5×10-5 11, α(P)=1.01E-5 14, α(N+)=0.00058 7",
"5-","","754.96 7","E2","","0.01174","α=0.01174, α(K)=0.00905 13, α(L)=0.00204 3, α(M)=0.000493 7, α(N)=0.0001249 18, α(O)=2.41×10-5 4, α(P)=2.18E-6 3, α(N+)=0.0001512 22",
"5-","","1018.63 8","M1(+E2)","-0.018 3","0.01713","α=0.01713, α(K)=0.01409 20, α(L)=0.00232 4, α(M)=0.000542 8, α(N)=0.0001376 20, α(O)=2.75×10-5 4, α(P)=2.96E-6 5, α(N+)=0.0001680 24",
"5-","","1202.58 10","E2","","0.00469","α=0.00469, α(K)=0.00378 6, α(L)=0.000687 10, α(M)=0.0001623 23, α(N)=4.11×10-5 6, α(O)=8.09E-6 12, α(P)=8.04E-7 12, α(N+)=5.41E-5 8",
"5-","","1405.01 8","E1","","1.49×10-3","α=1.49×10-3, α(K)=0.001155 17, α(L)=0.0001729 25, α(M)=3.98E-5 6, α(N)=1.007E-5 14, α(O)=2.00E-6 3, α(P)=2.10E-7 3, α(N+)=0.0001213 17",
"5-","","1718.70 7","E1","","1.31×10-3","α=1.31×10-3, α(K)=0.000824 12, α(L)=0.0001224 18, α(M)=2.81E-5 4, α(N)=7.12E-6 10, α(O)=1.418E-6 20, α(P)=1.498E-7 21, α(N+)=0.000335 5",
"5-","","2599.6 2","E3","","0.00248","α=0.00248, α(K)=0.001731 25, α(L)=0.000297 5, α(M)=6.95×10-5 10, α(N)=1.765E-5 25, α(O)=3.50E-6 5, α(P)=3.66E-7 6, α(N+)=0.000387 6",
"E(level), (keV)","Jπ(level)","T1/2(level)","E(γ), (keV)","Multipolarity","Mixing, Ratio","Conversion, Coefficient","Additional Data",
"3562.87","5-","","1565.34 8","E1","","1.36×10-3","α=1.36×10-3, α(K)=0.000963 14, α(L)=0.0001435 20, α(M)=3.30E-5 5, α(N)=8.35E-6 12, α(O)=1.663E-6 24, α(P)=1.751E-7 25, α(N+)=0.000225 4",
"5-","","1878.65 8","E1","","1.29×10-3","α=1.29×10-3, α(K)=0.000712 10, α(L)=0.0001053 15, α(M)=2.42E-5 4, α(N)=6.13E-6 9, α(O)=1.221E-6 17, α(P)=1.293E-7 19, α(N+)=0.000450 7",
"3776.1","5-","","1778.4 11","E1","","1.30×10-3","α=1.30×10-3, α(K)=0.000779 11, α(L)=0.0001155 17, α(M)=2.65E-5 4, α(N)=6.72E-6 10, α(O)=1.339E-6 19, α(P)=1.416E-7 20, α(N+)=0.000378 6",
"3957.6","10+","","1299.1 3","E1","","1.63×10-3","α=1.63×10-3, α(K)=0.001320 19, α(L)=0.000198 3, α(M)=4.57E-5 7, α(N)=1.156E-5 17, α(O)=2.30E-6 4, α(P)=2.40E-7 4, α(N+)=6.62E-5 10",
"10+","","1757.7 5","(E3)","","0.00471","α=0.00471, α(K)=0.00370 6, α(L)=0.000709 10, α(M)=0.0001686 24, α(N)=4.28×10-5 6, α(O)=8.43E-6 12, α(P)=8.49E-7 12, α(N+)=0.0001367 20",
"4027.3","12+","202 ns 3 , % IT = 100","69.7 5","E2","","32.2","B(E2)(W.u.)=0.34 6, α=32.2 13, α(L)=24.0 9, α(M)=6.32 24, α(N)=1.59 6, α(O)=0.283 11, α(P)=0.0103 4, α(N+)=1.89 8",
"12+","202 ns 3 , % IT = 100","1369.0 3","E3","","0.00778","B(E3)(W.u.)=0.137 12, α=0.00778, α(K)=0.00605 9, α(L)=0.001303 19, α(M)=0.000314 5, α(N)=7.98E-5 12, α(O)=1.559E-5 22, α(P)=1.512E-6 22, α(N+)=0.0001083 16",
"5217.6","12+","","1190.3 4","M1,E2","","0.008","α=0.008 4, α(K)=0.007 3, α(L)=0.0011 5, α(M)=0.00026 10, α(N)=6.7×10-5 25, α(O)=1.3E-5 5, α(P)=1.4E-6 6, α(N+)=9.E-5 4",
"5553.9","(12)+","","336.2 4","M1,E2","","0.20","α=0.20 12, α(K)=0.15 11, α(L)=0.034 10, α(M)=0.0083 20, α(N)=0.0021 5, α(O)=0.00041 12, α(P)=3.7×10-5 19, α(N+)=0.0026 7",
"(12)+","","1526.6 5","M1","","0.00623","α=0.00623, α(K)=0.00504 7, α(L)=0.000822 12, α(M)=0.000191 3, α(N)=4.86×10-5 7, α(O)=9.70E-6 14, α(P)=1.046E-6 15, α(N+)=0.000182 3",
"5783.1","(13+)","","229.4","(E2,M1)","","0.6","α=0.6 4, α(K)=0.4 3, α(L)=0.118 9, α(M)=0.0290 7, α(N)=0.00735 20, α(O)=0.00140 10, α(P)=0.00012 5, α(N+)=0.0089 4",
"(13+)","","1755.5 4","M1,E2","","0.0035","α=0.0035 11, α(K)=0.0027 9, α(L)=0.00045 13, α(M)=0.00010 3, α(N)=2.6×10-5 8, α(O)=5.2E-6 16, α(P)=5.6E-7 18, α(N+)=0.00024 7",
"6034.2","14+","","250.8 5","M1","","0.703","α=0.703, α(K)=0.575 9, α(L)=0.0985 15, α(M)=0.0231 4, α(N)=0.00586 9, α(O)=0.001169 18, α(P)=0.0001250 19, α(N+)=0.00716 11",
"14+","","816.5 5","E2","","0.00999","α=0.00999, α(K)=0.00779 11, α(L)=0.001675 24, α(M)=0.000403 6, α(N)=0.0001021 15, α(O)=1.98×10-5 3, α(P)=1.82E-6 3, α(N+)=0.0001237 18",
"14+","","2007.3 5","E2,M3","","0.007","α=0.007 5, α(K)=0.006 4, α(L)=0.0010 8, α(M)=0.00024 18, α(N)=6.E-5 5, α(O)=1.2E-5 10, α(P)=1.3E-6 10, α(N+)=0.000264 22",
"6430.7","15-","","2403.4 4","E3","","0.00277","α=0.00277, α(K)=0.00201 3, α(L)=0.000351 5, α(M)=8.25×10-5 12, α(N)=2.09E-5 3, α(O)=4.15E-6 6, α(P)=4.32E-7 6, α(N+)=0.000319 5",
"6851.4+X","(17-)","","286.1","M1","","0.490","α=0.490, α(K)=0.400 6, α(L)=0.0684 10, α(M)=0.01602 23, α(N)=0.00407 6, α(O)=0.000811 12, α(P)=8.68×10-5 13, α(N+)=0.00497 7",
"7759.2+X","(19+)","7.5 ns 9","97.3","E1","","0.467","B(E1)(W.u.)=1.91E-5 24, α=0.467, α(K)=0.369 6, α(L)=0.0750 11, α(M)=0.01771 25, α(N)=0.00442 7, α(O)=0.000828 12, α(P)=6.32E-5 9, α(N+)=0.00531 8",

"E(level)","Jπ(level)","T1/2(level)","Comments",
"0.0","0+","STABLE","Δ<r2>(208,206)=0.127 3 fm2 (2005Wa34). Several other articles contain information on isotope shifts and related deduced quantities: shift of K and L x-ray energies (1973Le16,1981BoZQ); shift of optical line energies (1980Ti04,1982ReZV,1986Bo18,1988Bu20); shift in charge radius (1973Le16,1981BoZQ,1982ReZV,1983Th03,1986An06,1987Di06,1990Di09, 1991Re08); theory of these shifts (many of the above articles and 1988Ga27); and shift in energies of x rays in muonic atoms (1966Eh01,1969An26,1975Ke05,1984Ho15). The energies of the x rays from muonic atoms are given by 1966Ac02, 1969An02, and 1973Ma45. Other muonic atom articles: 1969Fo11 and 1974Fo09., E(level): Δ<r2>(208,206)=0.127 3 fm2 (2005Wa34). Several other articles contain information on isotope shifts and related deduced quantities: shift of K and L x-ray energies (1973Le16,1981BoZQ); shift of optical line energies (1980Ti04,1982ReZV,1986Bo18,1988Bu20); shift in charge radius (1973Le16,1981BoZQ,1982ReZV,1983Th03,1986An06,1987Di06,1990Di09, 1991Re08); theory of these shifts (many of the above articles and 1988Ga27); and shift in energies of x rays in muonic atoms (1966Eh01,1969An26,1975Ke05,1984Ho15). The energies of the x rays from muonic atoms are given by 1966Ac02, 1969An02, and 1973Ma45. Other muonic atom articles: 1969Fo11 and 1974Fo09.",
"803.054","2+","8.30 ps 25","Q=+0.05 9, μ<0.030, Configuration: primary wave function component is ν(p1/2-1,f5/2-1).",
"1166.4","0+","0.75 ns 4","XREF: J(1175)n(1170).",
"1340.49","3+","","XREF: n(1344).",
"1466.81","2+","","XREF: L(1462)U(1470)X(1462).",
"1683.99","4+","","XREF: n(1686)p(1680)U(1680).",
"1704.45","1+","","XREF: J(1710)n(1708)c(1700).",
"1784.09","2+","","XREF: J(1762)n(1787)U(1780)c(1781).",
"1997.67","4+","","XREF: p(1993)U(2000)X(1994).",
"2148.97","2+","","XREF: J(2155)n(2151)U(2150).",
"2200.16","7-","125 µS 2 , % IT = 100","Q=0.33 5, μ=-0.152 3, Configuration: ν(p1/2-1,i13/2-1).",
"2314","0+","","XREF: U(2320)., E(level): From 208Pb(p,t).",
"2384.15","6-","30 ps 10","μ=+0.8 4, XREF: Y(2379).",
"2391.34","","","XREF: J(2385).",
"2423.36","2+","","XREF: U(2420)Y(2421)Z(2400).",
"2647.80","3-","0.087 ps 21","B(E3)=0.64 4, Configuration: primary wave function component is octupole vibration coupled to the ν(p1/2)-2 (Jπ=0+, ground state)., E(level): Configuration: primary wave function component is octupole vibration coupled to the ν(p1/2)-2 (Jπ=0+, ground state).",
"2658.32","9-","","XREF: U(2660)X(2654).",
"2782.17","5-","","Configuration: primary wave function component is ν(f5/2-1,i13/2-1).",
"2826.31","(4)-","","XREF: J(2820)n(2831).",
"2864.55","7-","","XREF: n(2861)U(2870).",
"2929.09","4+","","XREF: p(2925)X(2933).",
"2939.60","6-","","Configuration: primary wave function component is ν(f5/2-1,i13/2-1).",
"2954.5","8-","","Configuration: primary wave function component is ν(f5/2-1,i13/2-1).",
"2960","","","E(level): From 206Pb(p,p’).",
"2984","2+","","XREF: n(2988)., E(level): From 208Pb(p,t).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"3016.43","5-","","XREF: U(3010)c(3019).",
"3033","","","E(level): From 206Pb(p,p’).",
"3122.38","(3+)","","XREF: J(3125).",
"3139","","","E(level): From 206Pb(p,p’).",
"3194","(5-)","","E(level): From 208Pb(p,t).",
"3244.24","4-","","XREF: X(3237).",
"3260.4","6+","","XREF: p(3256)X(3262).",
"3279.21","5-","","XREF: n(3277)p(3276)X(3273).",
"3328","","","E(level): From 206Pb(p,p’).",
"3377","","","E(level): From 206Pb(p,p’).",
"3402.65","5-","","XREF: n(3399)p(3400)X(3399)Y(3392).",
"3453","5-","","E(level): From 208Pb(p,t).",
"3453.4","4+","","XREF: n(3450).",
"3484.8","","","XREF: n(3478).",
"3516","(4+)","","XREF: t(3519)X(3510).",
"3562.87","5-","","XREF: n(3558)p(3559)X(3555).",
"3606.2","2+","","XREF: n(3603)Y(3599)d(3600).",
"3623","4+","","E(level): From 208Pb(p,t).",
"3655","(6-)","","XREF: X(3653)., E(level): From 206Pb(p,p’).",
"3675","(4-)","","E(level): From 208Pb(p,t).",
"3682.9","","","XREF: n(3675)Q(3675).",
"3718","3-","","XREF: X(3716)., E(level): From 206Pb(p,p’).",
"3743.7","1-","5.1 fs 6","BE1=0.000049 6, XREF: n(3737).",
"3765","2+","","XREF: U(3770)X(3769)., E(level): From 208Pb(p,t).",
"3776.1","5-","","XREF: n(3772)p(3774)a(3768).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"3786","(3,4)-","","E(level): From 205Tl(3He,d).",
"3795","","","E(level): From 206Pb(p,p’).",
"3827","","","E(level): From 206Pb(p,p’).",
"3847","","","E(level): From 206Pb(p,p’).",
"3883","","","E(level): From 206Pb(p,p’).",
"3901","(2)+","","XREF: n(3898)., E(level): From 208Pb(p,t).",
"3957.6","10+","","XREF: n(3963)Y(3960).",
"3963","4+","","XREF: Y(3958).",
"3980","2-","","E(level): From 206Pb(p,p’)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"3994","(5-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4000","10+,12+","","E(level): From 208Pb(p,t).",
"4005.3","(4+)","","XREF: t(4008).",
"4010","","","XREF: X(4012).",
"4027.3","12+","202 ns 3 , % IT = 100","Q=0.51 2, μ=-1.795 22, Configuration: primary wave function component is ν(i13/2-2).",
"4035","","","XREF: Y(4036).",
"4066","(5)-","","XREF: n(4059)X(4064).",
"4076","","","XREF: n(4073)X(4080).",
"4.1E+3","(0+)","","E(level): From 204Hg(3He,n).",
"4102","2+","≤ 1.1 fs","B(E2)=0.23 2, XREF: M(4090)n(4107)Q(4107).",
"4113","(4)+","","E(level): From 208Pb(p,t).",
"4116.7","2+","1.59 fs 16","B(E2)=0.151 16, XREF: e(4111).",
"4120","(6-,7-)","","E(level): From 209Bi(pol p,α)., Jπ(level): From analyzing power and measured cross-section in 209Bi(pol p,α).",
"4123","6+","","E(level): From 206Pb(p,p’).",
"4140","(3-)","","XREF: n(4145)c(4147)., E(level): From 208Pb(p,t).",
"4168","(3-)","","E(level): From 206Pb(p,p’).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
